,,,,
,HW3010MK,,,Rat Rig V-Core 3.1 - 200mm Standard Kit v1.3 (Europe)
,,,,
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
1,HW3009MK,,,Rat Rig V-Core 3.1 - 200mm Mechanical Kit
1,HW2832EC,,,BigTreeTech Octopus V1.1 Motherboard (board only - no drivers)
1,HW2846EC,,,BigTreeTech TMC2209 Driver SPI (6 x PACK)
1,HW2847EC,,,Phaetus Rapido UHF Hotend - Black
1,HW2840EC,,,LGX Lite Extruder by Bondtech
5,HW1078EC,,,"Nema 17 Stepper Motor - 48mm - 1.8degree/step, 76oz-in"
4,HW1698EC,,,Nema 17 Stepper Motor Cable - 1mt
2,HW1699EC,,,Nema 17 Stepper Motor Cable - 2mt
1,HW2956EC,,,Keenovo 180x180mm 220V 250W Silicone Heater Bed Pad w/ NTC 100K Thermistor and Thermal Fuse
1,HW1733EC,,,C-Lin SSR 40A480VAC Solid State Relay Input 3V~32VDC 40DA
1,HW2954GC,,,FlexPlate Set - Powder coated PEI 210 x 210 mm
1,HW2860GK,,,Power Suppy - Meanwell LRS 200W 24V
1,HW2815EC,,,Fan - 40mm Axial Brushless 24V DC - 1500mm Cable - GDSTime High Quality (Double Ball Bearing)
1,HW3007EC,,,Fan - 4028 Axial - Protechnic MGT4012WB-W28-C (1.2A / 12V / 23000RPM)
1,HW2901EC,,,"Rat Rig ""SuperPinda"" probe by Pepperl & Fuchs (Inductive 5VDC Sensor)"
2,HW2685EC,,,Endstop Module - Horizontal Limit switch with 1mt cable and connector
1,HW3024MK,,,Rat Rig V-Core 3.1 - Printed Parts Bundle (PETG)
,,,,
,,,,
,,,,
,SKU,,,Product Name
,HW3014MK,,,Rat Rig V-Core 3.1 - 300mm Standard Kit v1.3 (Europe)
,,,,
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
1,HW3012MK,,,Rat Rig V-Core 3.1 - 300mm Mechanical Kit
1,HW2832EC,,,BigTreeTech Octopus V1.1 Motherboard (board only - no drivers)
1,HW2846EC,,,BigTreeTech TMC2209 Driver SPI (6 x PACK)
1,HW2847EC,,,Phaetus Rapido UHF Hotend - Black
1,HW2840EC,,,LGX Lite Extruder by Bondtech
5,HW1078EC,,,"Nema 17 Stepper Motor - 48mm - 1.8degree/step, 76oz-in"
3,HW1698EC,,,Nema 17 Stepper Motor Cable - 1mt
3,HW1699EC,,,Nema 17 Stepper Motor Cable - 2mt
